"","iso3c","health_costs_total_low_low","health_costs_total_low_med","health_costs_total_low_high"
"66","GUY",6398341.08949762,7269595.24912667,7711761.00911291
"67","HND",18822264.127753,23225597.0202751,24986238.1233679
"68","HRV",95518166.4119163,111075837.045968,121124317.590919
"69","HTI",311090.447502085,378894.651751783,471426.449312263
"70","HUN",267673333.174746,288505880.442856,359500032.47922
"71","IDN",960175854.269096,1119156500.41636,1276522899.35832
"72","IND",5277183974.70749,6011094172.23077,6233615181.35961
"73","IRL",379903171.235896,398306358.698735,415287098.813299
"74","IRQ",59211008.8151601,69396795.1700408,85258621.3659171
"75","ISL",21309692.4863898,28734431.7171713,31178715.1184251
"76","ISR",256700647.553036,279111737.99386,296497724.238681
"77","ITA",3526868327.80176,4074037715.90684,4538680503.94798
"78","JAM",7604238.3413461,8711654.88569127,9680571.71284575
"79","JOR",60336178.514365,66775363.7852563,72112508.8517273
"80","JPN",2977537251.35337,3572920161.44932,4154947597.29311
"81","KAZ",301475608.097586,331626844.59507,367891649.448921
"82","KEN",32328928.8293126,37607818.0614783,40542815.836587
"83","KGZ",4656062.37293599,5533278.78920797,6557600.70258929
"84","KHM",65118461.7992726,69648234.1300504,74134890.3043121
"85","KOR",2994487782.58088,3320813374.61009,3714736752.01718
"86","KWT",85551531.2820401,94981091.1604952,110212830.989358
"87","LAO",26285549.3835749,27774605.4159604,29399463.445501
"88","LBN",52966648.5943507,60160814.5892532,68462774.86487
"89","LBR",1503745.96451024,1732387.91289846,1976386.39060131
"90","LBY",34848473.82745,37206068.2202092,41472994.0024496
"91","LCA",1730932.37217628,1906335.16915343,2177051.75371547
"92","LKA",326374539.817265,352852171.246616,388627373.938812
"93","LSO",1729878.47058916,1999415.5562147,2233581.2110033
"94","LTU",98366201.4706986,108361936.636004,112148079.632557
"95","LUX",83177084.621474,97970318.4779711,111569969.033019
"96","LVA",52867988.9387808,60724193.9452349,65163331.3597582
"97","MAR",134845217.36871,150544564.304746,167035508.611246
"98","MDA",12485860.7195865,14302023.8264467,15733420.8680004
"99","MDG",4696966.28249748,5493903.00616628,6257394.66806677
"100","MDV",8242713.80996816,8951348.74204283,9846972.68160757
"101","MEX",1328583983.60432,1555993615.44298,1697009169.27206
"102","MKD",31131616.417956,35508111.2101999,41302538.1464743
"103","MLI",3719388.07596657,4434612.80045512,5330775.88053804
"104","MLT",22210893.8918761,26238392.844329,28721459.0926549
"105","MMR",68320098.856807,78799932.0370957,92830547.2807911
"106","MNE",10235333.5199913,12130798.2993197,14837308.6850698
"107","MNG",17210947.5381173,18596329.951086,20211511.1651409
"108","MOZ",11078933.4328747,13847260.3097719,17230707.5804546
"109","MRT",3893888.05484317,5026219.70459663,5895064.807543
"110","MUS",28673631.1280123,32353053.7617364,36066533.8309462
"111","MWI",8516849.04739116,9192117.93685885,9742465.25855372
"112","MYS",850739184.052802,968120473.854086,1070550650.6781
"113","NAM",4831459.12024816,6252737.00470906,7230700.14899452
"114","NER",5074058.36118929,6335262.92597022,7755548.55913528
"115","NGA",84921939.6849819,93186781.0424439,98949324.2163541
"116","NIC",4080171.33804167,4963559.76835706,5753965.65267338
"117","NLD",1192770443.6744,1275773108.0292,1392849683.04904
"118","NOR",620907213.913439,681499503.460484,741328353.076836
"119","NPL",55705393.8974675,62578681.4107037,76980769.2037123
"120","NZL",113309449.475699,128851263.475482,170842373.015007
"121","OMN",27967100.3559557,39152101.4992844,66508106.0896298
"122","PAK",241509603.638727,292724409.580286,347354855.259266
"123","PER",186824071.760115,247303838.883981,318640386.026414
"124","PHL",228829182.4458,315139557.472839,383530750.690357
"125","PNG",1908807.70787058,2245101.03624816,2684793.14719275
"126","POL",830857156.732845,914478405.142979,974079080.797455
"127","PRT",606417805.848664,768294278.206967,886191175.796972
"128","PRY",15506343.508606,19394539.3502433,21303495.4417053
"129","QAT",152562429.066573,197231954.476746,222568995.855135
"130","ROU",489564276.448236,579544562.353022,638436847.880948
"131","RUS",4483352934.73734,4835230964.33315,5235687267.02163
"132","RWA",16958996.793979,19358329.2155298,22007256.4387425
"133","SAU",557723280.041723,636656141.2883,721389132.616289
"134","SDN",10910294.8934327,14567529.1272653,19014410.856029
"135","SEN",11138731.9003346,12278950.106291,13869672.0332716
"136","SGP",578966480.879983,705334075.771036,934951625.748372
"137","SLB",61183.5919859662,436608.519652221,844538.127423213
"138","SLE",2248187.39478848,2761978.62992378,3155825.66091676
"139","SLV",30556043.3388511,35717923.6664658,37938678.2458544
"140","SRB",174121945.4407,200196420.805981,232646402.35904
"141","SSD",3236229.00821119,4249762.11177634,5169930.81828218
"142","STP",388783.835667767,458295.218661661,510027.287369603
"143","SUR",2359554.60091816,2695607.50233647,2849691.57901712
"144","SVK",133792972.4592,155065628.385661,167232776.584766
"145","SVN",66304859.6099537,74764365.8522901,84663477.7165824
"146","SWE",436907158.22084,479872996.033171,522273628.316131
"147","SWZ",1874845.00954685,2154237.41093991,2452310.36615935
"148","SYC",1822596.93356067,2460774.89877328,3271696.73094368
"149","SYR",3970147.61558602,4808635.13391615,5956950.93817423
"150","TCD",852194.216868619,1207384.1472197,1485975.38153598
"151","TGO",10985413.7947624,11880360.9169513,12803001.9662806
"152","THA",510540695.89475,602953450.825497,690040273.631861
"153","TJK",12984738.5825804,16607622.9646439,20014396.9837607
"154","TKM",19157781.3435247,24757057.587736,27954170.1138904
"155","TLS",3073010.49455095,3389747.6208424,3519201.06794998
"156","TTO",27161431.1968074,31266450.4147666,38130671.4569848
"157","TUN",163948323.874935,187445809.855505,208285157.758355
"158","TUR",1370812879.26291,1575177773.13503,1749305264.52796
"159","TZA",26298753.6441709,32631216.2356733,38524297.1017383
"160","UGA",26336091.2110905,31276565.6699082,33264148.0860458
"161","UKR",137507924.970018,165861939.296075,192576308.785739
"162","URY",32890347.5669683,36776556.5871561,43011750.412404
"163","USA",23662749294.5797,26042495854.8054,29155438911.4182
"164","UZB",354031049.216128,459398232.867713,551330398.068649
"165","VCT",360031.410605113,511547.115095541,685346.930204448
"166","VNM",535766349.23134,597282808.483917,631834700.467089
"167","VUT",1636.78060766749,14209.4117607517,364155.856319654
"168","YEM",7039232.68971454,8329436.72799063,9418468.28886977
"169","ZAF",316904576.112243,366742709.603361,412768844.216216
"170","ZMB",6275774.40882357,7249184.93717467,7967415.74532118
"171","ZWE",14779533.7194265,17043937.8579971,19276089.6598991
